90,91.062,91.837,90.885,31.543,14.659,16.774,24.723,74.559,100.56,109.42,119.24,134.6,155.28,171.76,2.5131,10.834,18.837,28.325,64.861,130.52,143.4,155.56,168.52,3.7629,20.889,35.532,45.264,50.828,52.296,43.494,5.8603,173.67,172.55,174.64,3.1279,61.465,76.502,81.293,85.916,94.103,116.27,143.38,151.52,148.49,116.77,92.373,87.697,86.139,84.872,81.903,68.296,26.522,15.924,14.137,13.218,5.783,148.26,137.88,139.77,143.68,147.83,151.92,156.45,163.43,179.94,22.359,21.66,3.9766,172.51,168.39,167.22,168.05,173.39,23.691
95.983,97.592,100.16,106.89,171.92,5.5261,8.8559,10.242,4.7811,126.88,123.52,129.19,139.59,155.1,172.93,8.7753,22.434,35.004,46.528,56.349,63.214,7.1341,176.69,4.0075,14.009,25.97,37.668,46.739,52.605,55.096,49.978,4.8923,169.3,166.77,165.04,159.15,118.05,95.815,93.721,95.392,100.43,112.92,136.63,152.01,155.42,142.53,103.38,94.806,93.809,94.887,97.925,110.53,172.44,1.5547,4.8601,6.004,1.0557,155.42,140.5,140.34,143.38,147.14,151.47,158.62,6.538,41.816,47.595,46.698,41.026,29.495,15.546,6.3312,2.701,4.6272,19.556
104.57,107.31,113.65,133.85,169.16,1.3341,5.9195,7.5766,4.3304,157.25,134.03,134.04,140.68,153.42,175.08,19.72,36.785,47.963,55.782,61.108,63.323,55.668,20.798,12.87,17.517,27.43,40.038,51.237,59.119,64.333,67.844,159.55,161.09,161.18,159.22,151.85,129.28,107.7,101.18,100.35,103.06,112.56,140.83,162.77,169.29,169.37,150.2,110.29,107.02,110.61,119.29,135.35,154.46,167.71,176.31,2.9558,7.7899,166.6,129.79,134.47,140.4,145.75,151.58,170.55,46.849,53.303,54.341,53.223,49.921,43.476,32.927,20.548,11.423,7.4967,12.462
123.27,125.33,134.57,152.77,170.64,0.68662,6.2437,9.4246,9.6963,175.2,135.33,132.28,137.19,147.84,178.39,36.891,50.332,57.854,63.107,66.795,68.666,65.938,36.691,12.021,12.893,22.98,43.904,63.072,73.373,80.445,89.799,119.85,150.63,157.26,157.45,151.9,134.93,113.97,104.97,102.37,103.29,111.77,163.91,178.65,1.763,2.3455,179.07,158.4,131.43,129.07,133.94,141.68,150.36,159.09,168.97,6.6158,43.584,64.059,74.592,86.839,112.25,139.19,158.35,50.089,57.442,59.375,59.63,58.661,56.285,51.77,43.544,29.939,14.136,1.497,167.26
155.48,149.25,152.18,161.46,172.82,2.3719,9.6908,15.989,23.01,38.692,102.69,116.93,125.34,133.4,0.74684,55.717,61.91,66.842,70.833,74.097,76.847,79.435,88.89,169.86,171.16,169.49,112.23,93.668,93.536,95.532,100.06,111.89,139.53,156.85,161.19,158.82,145.17,118.35,105.53,101.17,99.18,91.964,10.912,10.453,10.464,10.135,8.1155,179.56,156.12,142.76,141.81,144.77,148.94,153.63,160.89,48.025,63.08,66.1,67.332,67.316,65.283,58.36,49.513,56.725,63.793,66.197,66.565,65.83,64.115,60.999,54.897,39.203,3.6813,161.76,145.97
173.07,164.87,162.27,166.39,175.82,7.7522,20.089,33.322,48.744,65.234,79.888,92.501,104.72,115.97,108.95,75.127,75.309,78.428,81.561,84.792,89.108,98.432,127.97,150.5,153.65,147.83,132.2,115.85,107.72,104.53,104.02,106.67,123.47,168.81,177.47,179.17,177.91,144.51,96.277,90.853,76.803,33.609,21.118,18.194,17.283,16.86,15.826,11.454,174.68,152.62,146.77,146.99,148.48,149.12,137.8,70.711,68.304,67.324,65.946,63.535,59.181,51.118,38.299,37.746,84.331,84.191,81.924,79.875,78.156,76.897,77.1,95.6,147.29,147.04,141.79
4.0638,176.16,169.64,170.11,5.6207,35.811,51.861,60.793,67.434,72.838,77.453,81.952,88.661,113.65,144.43,135.71,112.05,102.73,100.69,101.67,105.83,116.57,135.95,148.72,151.15,146.91,137.28,125.58,116.3,110.03,105.22,99.223,75.548,29.865,22.809,21.209,21.996,26.454,39.157,51.057,44.153,32.711,27.002,24.876,24.492,25.113,26.309,27.235,23.953,172.53,152.29,150.49,149.8,143.74,93.784,75.779,71.782,68.995,65.828,61.422,54.311,40.101,9.4948,161.55,143.88,128.99,116.93,108.56,103.71,102.54,107.34,122.61,138.14,143.51,143.14
20.82,22.95,55.821,80.69,79.79,77.47,76.392,76.478,77.099,77.68,77.773,76.841,72.68,176.26,164.63,156.7,146.18,134.86,126.5,122.39,122.82,129.78,143.89,154.19,155.98,151.97,143.88,133.74,123.91,114.87,104.27,84.554,55.33,40.634,34.302,30.94,29.035,28.268,29.037,31.965,34.619,34.505,34.077,34.822,37.14,41.289,47.152,53.479,58.028,58.687,52.437,33.556,13.456,84.804,86.013,81.862,77.615,72.833,66.978,59.025,46.258,22.765,176.36,160.77,150.71,142.71,135.66,129.36,124.13,120.93,121.49,127.89,138.07,145.32,148.49
59.901,71.503,79.469,83.528,85.46,86.364,86.664,86.389,85.358,83.226,79.189,70.302,40.976,6.3667,173.47,164.61,156.54,149.09,142.8,138.36,136.98,142.74,161.71,173.37,172.62,166.15,156.72,146.46,136.41,124.45,97.659,61.704,49.398,43.582,39.608,36.175,32.54,27.903,21.296,13.344,13.661,47.709,62.886,68.701,73.328,76.689,78.014,76.813,72.768,65.87,57.188,48.919,42.993,43.125,92.009,102.42,97.841,88.76,74.174,53.472,30.826,10.432,174.18,162.54,154.38,148.35,143.52,139.27,135.27,131.56,129.16,131.36,142.36,154.89,162.39
80.482,81.254,82.761,85.126,88.457,92.522,96.495,99.206,99.595,96.288,84.189,48.31,23.784,11.352,0.82782,171.14,162.94,156.59,152.08,149.62,151.59,179.99,28.015,29.107,24.618,15.935,3.3247,171,163.68,165.32,28.973,45.18,46.521,45.87,44.369,41.736,36.249,20.493,167.51,150.2,137.89,120.73,106.43,100.64,98.807,97.751,95.718,91.206,82.414,69.183,56.512,47.8,41.413,32.546,155.77,136.38,132.47,131.01,133.43,173.09,13.193,8.2755,177.79,166.59,158.23,152.83,149.32,146.9,145.05,143.44,142.24,38.834,36.408,24.392,14.312
